"Kelowna
211 Bernard Ave, KELOWNA, BC",Actual / Theoretical Cost Report Product Detail,01/17/2024 19:27
P2821,SODA DIET COKE BTL,312.80,0.02,542.28,0.04,-229.48,-0.02,-106.00,L,0.00
P5780,SALT HIBISCUS,82.71,0.01,295.78,0.02,-213.07,-0.01,-8.00,KG,0.00
P1013,BAR FOOD - HP SAUCE,0.00,0.00,208.14,0.01,-208.14,-0.01,-25.00,L,0.00
P2822,SODA GINGER ALE BTL,250.83,0.02,458.73,0.03,-207.90,-0.01,-96.00,L,0.00
R6134,BAR PREP BATCH SANGRIA RED BERRY W/ALC,295.08,0.02,502.46,0.03,-207.38,-0.01,-31.00,L,0.00
R12470,BAR PREP BATCH HAWAIIAN MAI TAI BASE,"1,593.10",0.11,"1,797.23",0.12,-204.13,-0.01,-253.00,FL OZ,0.00
P1268,BAR FOOD - ORANGES,477.03,0.03,679.11,0.05,-202.08,-0.01,-356.00,EACH,70.41
P2983,TEQUILA EL TEQUILENO REPOSADO GRAN RESERVA,100.21,0.01,300.30,0.02,-200.09,-0.01,-3.00,0.75 LT,0.00
,Brad/ Sysco,0.00,0.00,200.00,0.01,-200.00,-0.01,,,
R8199,BAR PREP BATCH SANGRIA ROSE WATERMELON,268.58,0.02,468.55,0.03,-199.97,-0.01,-22.00,L,0.00
P1115,CORDIAL PASSION FRUIT SYRUP,870.73,0.06,"1,060.69",0.07,-189.96,-0.01,-12.00,L,0.00
P1212,LIQUEUR CHARTREUSE YELLOW,976.56,0.07,"1,161.89",0.08,-185.33,-0.01,-3.00,0.75 LT,0.00
P1016,BAR FOOD - TABASCO GREEN,0.00,0.00,184.92,0.01,-184.92,-0.01,-5.00,L,0.00
R6142,BAR PREP BATCH SIGNATURE ESPRESSO MARTINI BASE,"2,118.94",0.14,"2,300.55",0.16,-181.61,-0.01,-240.00,FL OZ,0.00
P1116,CORDIAL RASPBERRY,919.01,0.06,"1,096.27",0.07,-177.26,-0.01,-12.00,L,0.00
P2549,LIQUEUR SOHO - LYCHEE,0.00,0.00,176.73,0.01,-176.73,-0.01,-7.00,0.75 LT,0.00
R6114,BAR PREP BATCH MARGARITA BASE,"22,229.68",1.50,"22,395.68",1.51,-166.00,-0.01,-211.00,FL OZ,0.00
P1364,SODA BIB SYRUP SPRITE,293.12,0.02,456.82,0.03,-163.70,-0.01,-51.00,L,0.00
R6140,BAR PREP BATCH SANGRIA WINTER SPICE SANGRIA W/ALC,"2,342.52",0.16,"2,500.96",0.17,-158.44,-0.01,-21.00,L,0.00
P1313,RUM BACARDI SUPERIOR WHITE,0.00,0.00,158.34,0.01,-158.34,-0.01,-6.00,1.14 LT,0.00
P2170,SPICE RST GARLIC PEPR,0.00,0.00,157.50,0.01,-157.50,-0.01,-15.00,LB,0.00
,Lemon/Lime,0.00,0.00,150.00,0.01,-150.00,-0.01,,,
,lemon lome,0.00,0.00,150.00,0.01,-150.00,-0.01,,,
P1205,LIQUEUR ANCHO REYES,454.58,0.03,601.89,0.04,-147.31,-0.01,-4.00,0.75 LT,0.00
P1114,CORDIAL MANGO,827.89,0.06,960.11,0.06,-132.22,-0.01,-10.00,L,0.00
R13695,BAR PREP PREMIX SLUSH YUZU COLADA BASE,0.00,0.00,130.12,0.01,-130.12,-0.01,-13.00,L,0.00
P1362,SODA BIB SYRUP GINGERALE,259.25,0.02,383.36,0.03,-124.11,-0.01,-38.00,L,0.00
P1461,VODKA KETEL ONE,278.82,0.02,400.38,0.03,-121.56,-0.01,-5.00,0.75 LT,0.00
R6121,BAR PREP BATCH OLD FASHIONED BASE (BUFFALO TRACE),"3,402.52",0.23,"3,523.35",0.24,-120.83,-0.01,-88.00,FL OZ,0.00
P1412,SYRUP GRENADINE (EFCON),302.23,0.02,421.42,0.03,-119.19,-0.01,-15.00,L,0.00
,Francisco/ coffee beans for bar,0.00,0.00,119.00,0.01,-119.00,-0.01,,,
P1153,GIN  QUEENSBOROUGH/EAU CLAIRE/DILLONS 7,0.00,0.00,115.90,0.01,-115.90,-0.01,-3.00,0.75 LT,0.00
P1428,TEQUILA PATRON SILVER,921.61,0.06,"1,031.69",0.07,-110.08,-0.01,-2.00,0.75 LT,2.55
P2135,HONEY LIQUID BTLS - BAR,3.14,0.00,111.92,0.01,-108.78,-0.01,-10.00,KG,0.00
P2573,VODKA KETEL ONE BOTANICAL CUCUMBER & MINT,563.72,0.04,672.49,0.05,-108.77,-0.01,-4.00,0.75 LT,48.21
P2582,BOURBON JACK DANIELS TENNESSEE HONEY,79.81,0.01,184.50,0.01,-104.69,-0.01,-4.00,0.75 LT,5.69
,"bar float, grey - Jameson",0.00,0.00,100.00,0.01,-100.00,-0.01,,,
P2793,LIQUEUR HYPNOTIQ,0.00,0.00,97.30,0.01,-97.30,-0.01,-3.00,0.75 LT,0.00
R6510,BAR FOOD - GRANNY SMITH APPLES (TFR),183.36,0.01,279.47,0.02,-96.11,-0.01,-46.00,LB,0.00
P2575,VODKA KETEL ONE BOTANICAL PEACH & ORANGE BLOSSOM,"1,664.28",0.11,"1,758.49",0.12,-94.21,-0.01,-4.00,0.75 LT,1.09
,Unspecified Item,0.00,0.00,94.17,0.01,-94.17,-0.01,,,
P1345,SCOTCH JOHNNIE WALKER BLUE,300.97,0.02,394.60,0.03,-93.63,-0.01,0.00,0.75 LT,0.00
P1187,JUICE CRANBERRY COCKTAIL,610.32,0.04,702.99,0.05,-92.67,-0.01,-36.00,L,0.00
R16337,BAR PREP BATCH LYCHEE TINI BASE,535.96,0.04,628.40,0.04,-92.44,-0.01,-122.00,FL OZ,0.00
R6252,BAR FOOD - HORSERADISH FRESH (TFR),0.00,0.00,92.36,0.01,-92.36,-0.01,-10.00,LB,0.00
P2906,COURVOISIER - V S O P,0.00,0.00,91.99,0.01,-91.99,-0.01,-1.00,0.75 LT,0.00
P1189,JUICE FRESH GRAPEFRUIT,393.67,0.03,479.80,0.03,-86.13,-0.01,-15.00,L,0.00
P1226,LIQUEUR PEACH BRIZARD/MCGUINESS/DK PEACHTREE,621.24,0.04,700.91,0.05,-79.67,-0.01,-5.00,0.75 LT,0.00
P3168,"SYRUP, CHAI",162.76,0.01,241.69,0.02,-78.93,-0.01,-5.00,LT,0.00
P1217,LIQUEUR FRANGELICO,241.00,0.02,319.45,0.02,-78.45,-0.01,-4.00,0.75 LT,0.00
R16309,BAR PREP BATCH MARGARITA PASSION FRUIT CHILI BASE (P10),250.74,0.02,328.66,0.02,-77.92,-0.01,-77.00,FL OZ,0.00
P2026,LIQUEUR WHITE CREME DE CACAO,212.41,0.01,287.51,0.02,-75.10,-0.01,-5.00,0.75 LT,0.00
P1021,BAR FOOD SPICE - CELERY SALT,0.69,0.00,74.81,0.01,-74.12,-0.01,-20.00,LB,0.00
R9636,BAR PREP BATCH NEGRONI BASE,937.48,0.06,"1,010.07",0.07,-72.59,0.00,-102.00,FL OZ,0.00
R16331,BAR PREP BATCH DIRTY MARTINI BASE (GIN),179.23,0.01,251.31,0.02,-72.08,0.00,-82.00,FL OZ,0.00
P2962,SYRUP BEV SEVILLE ORANGE,18.61,0.00,88.21,0.01,-69.60,0.00,-4.00,L,0.00
R16480,BAR PREP BATCH STRAWBERRY SMOKESHOW MARGARITA,730.50,0.05,799.86,0.05,-69.36,0.00,-57.00,FL OZ,0.00
P1071,BOURBON WHISKEY JACK DANIELS,302.27,0.02,369.16,0.02,-66.89,0.00,-2.00,1.14 LT,0.00
R6128,BAR PREP BATCH PREMIX CAESAR SPICE MIX,"2,127.12",0.14,"2,193.92",0.15,-66.80,0.00,-7.00,QT,0.00
P2536,GIN TANQUERAY MALACCA,0.00,0.00,66.45,0.00,-66.45,0.00,-3.00,0.7 LT,0.00
P5755,SYRUP BEV HIBISCUS,196.97,0.01,261.12,0.02,-64.15,0.00,-5.00,L,0.00
P1218,LIQUEUR GRAND MARNIER,147.98,0.01,210.69,0.01,-62.71,0.00,-2.00,0.75 LT,0.00
R6506,"BAR FOOD - CITRIC ACID, POWDER (TFR)",0.00,0.00,62.46,0.00,-62.46,0.00,-7.00,LB,0.00
R16312,BAR PREP BATCH DIRTY GIN AND TONIC,187.48,0.01,247.65,0.02,-60.17,0.00,-102.00,FL OZ,8.70
P1318,RYE FORTY CREEK BARREL SELECT,89.57,0.01,148.87,0.01,-59.30,0.00,-3.00,0.75 LT,0.00
R6138,BAR PREP BATCH SANGRIA WHITE W/ALC,976.78,0.07,"1,031.47",0.07,-54.69,0.00,-10.00,L,0.00
P2173,SYRUP BEV PINEAPPLE,120.10,0.01,174.27,0.01,-54.17,0.00,-3.00,L,0.00
P1370,SODA TONIC FEVER TREE / FENTIMANS,"1,505.11",0.10,"1,557.37",0.11,-52.26,0.00,-8.00,L,0.00
P1164,GIN TANQUERAY NO. TEN (26),78.02,0.01,129.99,0.01,-51.97,0.00,-1.00,0.75 LT,0.00
P2565,SCOTCH GLENMORANGIE 10 YEAR OLD THE ORIGINAL,11.36,0.00,62.04,0.00,-50.68,0.00,-1.00,0.75 LT,0.00
,Limes,0.00,0.00,50.00,0.00,-50.00,0.00,,,
P1073,WHISKEY BOURBON MICHTERS US 1 SMALL BATCH,215.46,0.01,261.93,0.02,-46.47,0.00,-1.00,0.75 LT,0.00
P6129,WATER BOTTLED - KELOWNA CANTEEN,34.87,0.00,81.22,0.01,-46.35,0.00,-132.00,BOTTLE,0.00
P1230,LIQUEUR PISCO CAPEL,0.00,0.00,45.61,0.00,-45.61,0.00,-1.00,0.75 LT,0.00
P1404,SUGAR IN THE RAW STIX,110.70,0.01,156.17,0.01,-45.47,0.00,-13.00,LB,0.00
P5754,BAR FOOD - DEHYDRATED LEMON WHEEL,37.11,0.00,82.43,0.01,-45.32,0.00,-275.00,EACH,0.00
P2964,BITTERS RED ITALIAN SODA,983.69,0.07,"1,028.99",0.07,-45.30,0.00,-4.00,L,0.00
P2945,SPIRULINA POWDER BLUE,215.24,0.01,259.43,0.02,-44.19,0.00,-42.00,G,0.00
R6505,BAR FOOD - EGG WHITES (TFR),58.77,0.00,102.71,0.01,-43.94,0.00,-8.00,KG,0.00
P1398,STRAWBERRIES FRZ IQF,310.99,0.02,353.72,0.02,-42.73,0.00,-9.00,LB,0.00
P1420,TEA PEPPERMINT,114.19,0.01,156.54,0.01,-42.35,0.00,-204.00,EACH,1.89
P2081,CHERRY MARASCHINO W/STEM,1.19,0.00,42.66,0.00,-41.47,0.00,-6.00,L,0.00
P1188,JUICE CRANBERRY WHITE,"1,006.12",0.07,"1,044.35",0.07,-38.23,0.00,-15.00,L,0.00
R16330,BAR PREP BATCH DIRTY MARTINI BASE (VODKA),243.64,0.02,281.57,0.02,-37.93,0.00,-36.00,FL OZ,0.00
P2566,SCOTCH J & B RARE,37.74,0.00,75.59,0.01,-37.85,0.00,-2.00,0.75 LT,0.00
P1022,BAR FOOD SPICE - MONTREAL STEAK,0.00,0.00,37.76,0.00,-37.76,0.00,-5.00,LB,0.00
P1458,VODKA BELVEDERE,121.85,0.01,159.06,0.01,-37.21,0.00,-1.00,0.75 LT,-39.44
P1126,CREAMO (IN JUGS),"1,117.56",0.08,"1,153.59",0.08,-36.03,0.00,-6.00,L,0.00
P2579,VODKA SMIRNOFF/STOLYCHNAYA BLUEBERRY,25.84,0.00,61.25,0.00,-35.41,0.00,-2.00,0.75 LT,0.00
P6131,"SOFT DRINK JARRITOS NATURAL FLAVOUR MANGO, GLASS",0.00,0.00,35.33,0.00,-35.33,0.00,-46.00,BTL 370ml,0.00
P2547,LIQUEUR MELON - BOLS / McGuinness,35.91,0.00,71.16,0.00,-35.25,0.00,-2.00,0.75 LT,0.00
P1204,LIQUEUR AMARETTO LUXARDO / DISARONNO,158.10,0.01,193.23,0.01,-35.13,0.00,-2.00,0.75 LT,1.78
P1464,VODKA SMIRNOFF RASPBERRY TWIST,66.87,0.00,101.75,0.01,-34.88,0.00,-2.00,0.75 LT,0.00
P2971,LIQUEUR LIMONCELLO LUXARDO,58.27,0.00,92.77,0.01,-34.50,0.00,-2.00,750mL BTL,0.00
P2656,LIQUEUR SOUTHERN COMFORT,1.11,0.00,35.57,0.00,-34.46,0.00,-2.00,0.75 LT,0.00
P2583,WHISKEY SKREWBALL PEANUT BUTTER,18.99,0.00,52.95,0.00,-33.96,0.00,-1.00,0.75 LT,0.00
P2539,LIQUEUR BANANA BOLS / GIFFARD,43.79,0.00,77.18,0.01,-33.39,0.00,-2.00,0.75 LT,0.00
,"jameson, grey",0.00,0.00,32.60,0.00,-32.60,0.00,,,
R8764,BAR FOOD - HERB BASIL FRESH (TFR),0.03,0.00,32.40,0.00,-32.37,0.00,-3.00,LB,30.00
P1009,BAR DEHYDRATED ORANGE WHEEL,36.89,0.00,69.24,0.00,-32.35,0.00,-210.00,EACH,0.00
R12744,BAR FOOD - JALAPENOS FRESH (TFR),0.00,0.00,32.34,0.00,-32.34,0.00,-13.00,LB,0.00
P1160,GIN HENDRICKS,287.84,0.02,318.82,0.02,-30.98,0.00,-1.00,0.75 LT,0.00
P2663,BOURBON JIM BEAM KENTUCKY,0.00,0.00,29.39,0.00,-29.39,0.00,-1.00,0.75 LT,0.00
P1419,TEA GREEN ALL VARIATIONS,126.94,0.01,156.30,0.01,-29.36,0.00,-86.00,EACH,1.24
P1209,LIQUEUR BUTTER RIPPLE SCHNAPPS,254.50,0.02,283.03,0.02,-28.53,0.00,-2.00,0.75 LT,0.00
R8214,BAR PREP BATCH PINEAPPLE MARGARITA BASE,897.14,0.06,925.42,0.06,-28.28,0.00,-22.00,FL OZ,0.00
P2970,LIQUEUR LUXARDO BITTER BIANCO,43.60,0.00,71.80,0.00,-28.20,0.00,-1.00,0.75 LT,0.00
P2551,LIQUEUR SOUR PUSS RASPBERRY,76.23,0.01,103.42,0.01,-27.19,0.00,-2.00,0.75 LT,1.28
P6089,SYRUP BEV KIWI,0.00,0.00,25.72,0.00,-25.72,0.00,-2.00,L,0.00
P1272,WATER MINERAL STILL,90.75,0.01,115.68,0.01,-24.93,0.00,-9.00,L,0.00
R5366,BAR PREP PREMIX SLUSH WATERMELON SLUSH WITH ALC BASE,0.00,0.00,24.84,0.00,-24.84,0.00,-4.00,L,1.05
P1416,TEA CHAI,15.58,0.00,38.74,0.00,-23.16,0.00,-72.00,EACH,0.00
P6272,BAR FOOD - LYCHEE,0.00,0.00,23.13,0.00,-23.13,0.00,-4.00,KG,0.00
P1072,BOURBON MAKERS MARK,66.09,0.00,89.20,0.01,-23.11,0.00,-1.00,0.75 LT,1.41
P2542,LIQUEUR GALLIANO VANILLA,12.08,0.00,34.04,0.00,-21.96,0.00,-1.00,0.375 LT,0.00
P2534,COGNAC HENNESSY V S O P.,47.53,0.00,68.82,0.00,-21.29,0.00,0.00,0.75 LT,0.00
P1342,SCOTCH GLENFIDDICH 12YR,121.93,0.01,143.13,0.01,-21.20,0.00,0.00,0.75 LT,0.00
P1418,TEA EARL GREY,107.16,0.01,127.70,0.01,-20.54,0.00,-67.00,EACH,0.00
P2060,BAR FOOD - SPICE STAR ANISE SEED,307.22,0.02,327.64,0.02,-20.42,0.00,-1.00,LB,0.00
P2554,RUM HAVANA CLUB 3YR,0.00,0.00,19.89,0.00,-19.89,0.00,-1.00,0.75 LT,0.00
P1227,LIQUEUR PEPPERMINT SCHNAPPS,12.91,0.00,32.37,0.00,-19.46,0.00,-1.00,0.75 LT,0.00
P3224,"RUM, BACARDI - 4 YEAR OLD",0.00,0.00,18.80,0.00,-18.80,0.00,-1.00,0.75 LT,0.00
P1105,CHOCOLATE HOT POWDER MIX,46.99,0.00,64.60,0.00,-17.61,0.00,-1.00,KG,0.00
P6273,SEEDLIP NON-ALCOHOLIC GARDEN 108 GLASS BTL,109.61,0.01,125.91,0.01,-16.30,0.00,0.00,LT,0.00
P1422,TEQUILA  CAZADORES REPOSADO,74.79,0.01,90.16,0.01,-15.37,0.00,0.00,0.75 LT,0.00
R13693,BAR PREP PREMIX SLUSH STRAWBERRY KIWI DAIQUIRI FROZEN 109%,"1,529.57",0.10,"1,544.80",0.10,-15.23,0.00,-2.00,L,0.00
P2017,SCOTCH JOHNNIE WALKER RED,14.23,0.00,28.74,0.00,-14.51,0.00,-1.00,0.75 LT,0.00
P1023,BAR FOOD SPICE - ONION POWDER,0.00,0.00,13.42,0.00,-13.42,0.00,-1.00,LB,0.00
P6280,SYRUP CONCORD GRAPE SAGE JUICE,95.26,0.01,108.57,0.01,-13.31,0.00,-1.00,LT,0.00
P2657,VODKA CIROC,3.11,0.00,15.78,0.00,-12.67,0.00,0.00,0.75 LT,0.00
P1216,LIQUEUR DRAMBUIE,5.80,0.00,18.36,0.00,-12.56,0.00,0.00,0.75 LT,0.00
R9556,BAR FOOD - CREAM WHIPPING (TFR),180.06,0.01,192.00,0.01,-11.94,0.00,-2.00,L,0.00
R6511,BAR FOOD - BLACK PEPPER COARSE (TFR),0.00,0.00,11.44,0.00,-11.44,0.00,-1.00,LB,0.00
P2578,VODKA SMIRNOFF GREEN APPLE TWIST,3.67,0.00,14.88,0.00,-11.21,0.00,-1.00,0.75 LT,0.00
,"Per Dylan, Organizers",0.00,0.00,11.20,0.00,-11.20,0.00,,,
,Miscellaneous 1,0.00,0.00,10.96,0.00,-10.96,0.00,,,
P1283,WATER MINERAL SPARKLING,"1,094.54",0.07,"1,104.95",0.07,-10.41,0.00,-4.00,L,1.61
P6281,SYRUP EARL GREY LAVENDER,103.24,0.01,113.23,0.01,-9.99,0.00,0.00,LT,0.00
R9073,BAR PREP PASSION FRUIT HONEY FOAM,103.36,0.01,113.16,0.01,-9.80,0.00,-3.00,BATCH - 16 FL OZ,0.00
,cream,0.00,0.00,9.00,0.00,-9.00,0.00,,,
P2968,"SYRUP BEV MACADAMIA NUT, ORGEAT",110.96,0.01,119.59,0.01,-8.63,0.00,0.00,L,0.00
R6148,BAR PREP BATCH TOKYO COSMO BASE,580.68,0.04,589.20,0.04,-8.52,0.00,-11.00,FL OZ,0.00
P1415,TEA ASSAM (BREAKFAST BLEND),46.40,0.00,54.21,0.00,-7.81,0.00,-33.00,EACH,0.00
P2557,RUM MOUNT GAY ECLIPSE,0.00,0.00,7.58,0.00,-7.58,0.00,0.00,0.75 LT,0.00
P2556,RUM MALIBU COCONUT,56.77,0.00,64.27,0.00,-7.50,0.00,0.00,0.75 LT,0.00
P1417,TEA CHAMOMILE FLOWERS,50.23,0.00,57.47,0.00,-7.24,0.00,-22.00,EACH,0.00
,per Dylan,0.00,0.00,7.20,0.00,-7.20,0.00,,,
P2543,LIQUEUR GINGER OF THE INDIES GIFFARD,0.00,0.00,7.13,0.00,-7.13,0.00,0.00,0.7 LT,0.00
R16334,BAR PREP BATCH KETEL ONE NITRO ESPRESSO MARTINI,"1,366.34",0.09,"1,373.12",0.09,-6.78,0.00,-1.00,QT,0.00
R13697,BAR PREP PREMIX SLUSH YUZU COLADA FROZEN 109%,713.99,0.05,720.70,0.05,-6.71,0.00,-1.00,L,0.00
P2823,SODA ICED TEA BTL,17.50,0.00,23.65,0.00,-6.15,0.00,-2.00,L,0.00
P2171,SYRUP BEV GUAVA PUREE,153.47,0.01,159.37,0.01,-5.90,0.00,-1.00,L,0.00
R6071,BAR PREP - PINK CITRUS,3.08,0.00,8.00,0.00,-4.92,0.00,-16.00,L,0.00
