"Kelowna
211 Bernard Ave, KELOWNA, BC",Actual / Theoretical Cost Report Product Detail,01/17/2024 19:27
P2624,WINE BTL DUCKHORN DECOY MERLOT,"1,020.04",0.25,"1,050.93",0.26,-30.89,-0.01,-1.00,750mL BTL,0.00
P2770,WINE BTL WILD GOOSE RIESLING,792.77,0.19,819.91,0.20,-27.14,-0.01,-2.00,750mL BTL,2.72
P1550,WINE BTL POPLAR GROVE MERLOT,963.11,0.24,986.80,0.24,-23.69,-0.01,-1.00,750mL BTL,0.00
P3230,WINE BTL BLACK HILLS VIOGNIER,449.44,0.11,469.42,0.12,-19.98,0.00,-1.00,750mL BTL,0.00
P2652,WINE BTL THE SHOW MALBEC,0.00,0.00,17.07,0.00,-17.07,0.00,-1.00,750mL BTL,0.00
P2608,WINE BTL HAYWIRE GAMAY,494.05,0.12,510.65,0.13,-16.60,0.00,-1.00,750mL BTL,0.00
P1551,WINE BTL TAYLOR FLADGATE 10YR PORT,5.04,0.00,19.22,0.00,-14.18,0.00,0.00,750mL BTL,0.00
P1500,WINE BTL DOM PERIGNON MOET & CHANDON,718.64,0.18,718.65,0.18,-0.01,0.00,0.00,750mL BTL,0.00
P1561,WINE BTL ROCCA DELLE MACIE CHIANTI CLASSICO,209.64,0.05,209.65,0.05,-0.01,0.00,0.00,750mL BTL,0.00
P2595,WINE BTL ORIN SWIFT ABSTRACT RED,132.94,0.03,132.95,0.03,-0.01,0.00,0.00,750mL BTL,0.00
P2634,WINE BTL FOLLY OF THE BEAST PINOT NOIR,222.90,0.05,222.91,0.05,-0.01,0.00,0.00,750mL BTL,0.00
P1494,WINE BTL COMO LOCO TEMPRANILLO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750mL BTL,0.00
P2641,WINE BTL ERRAZURIZ ACONCAGUA COSTA SAUVIGNON BLANC,311.95,0.08,311.95,0.08,0.00,0.00,0.00,750mL BTL,0.00
P3193,WINE BTL WEISS RIESLING,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750mL BTL,0.00
P3279,WINE BTL FREEMARK ABBEY CABERNET SAUVIGNON,835.90,0.20,835.90,0.20,0.00,0.00,0.00,750mL BTL,0.00
P6275,WINE BTL NIELSON SANTA BARBARA PINOT NOIR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750mL BTL,0.00
P6278,WINE BTL POL ROGER BRUT RESERVE SPARKLING,66.99,0.02,66.99,0.02,0.00,0.00,0.00,750mL BTL,0.00
P2655,WINE BTL ARGIOLAS COSTAMOLINO VERMENTINO,65.60,0.02,65.59,0.02,0.01,0.00,0.00,750mL BTL,0.00
P2989,WINE BTL FAMILLE PERRIN COTES DU RHONE RESERVE,88.22,0.02,88.21,0.02,0.01,0.00,0.00,750mL BTL,0.00
P3235,WINE BTL MARTINS LANE NARAMARA PINOT NOIR,"1,039.91",0.25,"1,039.90",0.25,0.01,0.00,0.00,750mL BTL,0.00
P2664,WINE BTL LA CREMA CHARDONNAY,527.02,0.13,527.00,0.13,0.02,0.00,0.00,750mL BTL,0.00
P2588,WINE BTL BLACK HILLS NOTA BENE,"3,307.93",0.81,"3,304.65",0.81,3.28,0.00,0.00,750mL BTL,0.00
,villa marchesi,0.00,0.00,-12.00,0.00,12.00,0.00,,,
,cow/RH,0.00,0.00,-13.00,0.00,13.00,0.00,,,
P3273,WINE BTL MINI MOET & CHANDON IMPERIAL BRUT,75.48,0.02,56.61,0.01,18.87,0.00,1.00,200ML BTL,0.00
,COW/FOH,0.00,0.00,-20.00,0.00,20.00,0.00,,,
P3276,WINE BTL CHERRIES & RAINBOWS MERLOT + SYRAH,809.77,0.20,788.87,0.19,20.90,0.01,1.00,750mL BTL,0.00
P6305,WINE BTL IL SCOPO BARBERA RED,98.68,0.02,75.73,0.02,22.95,0.01,2.00,750mL BTL,0.00
,Rebecca,0.00,0.00,-23.00,-0.01,23.00,0.01,,,
P1542,WINE BTL MISSION HILL RESERVE MERITAGE,145.02,0.04,120.85,0.03,24.17,0.01,1.00,750mL BTL,0.00
,Wine,0.00,0.00,-25.00,-0.01,25.00,0.01,,,
,Money towards Wine,0.00,0.00,-26.00,-0.01,26.00,0.01,,,
,tate,0.00,0.00,-30.00,-0.01,30.00,0.01,,,
P1564,WINE BTL SEVEN TERRACES SAUVIGNON BLANC,31.00,0.01,0.00,0.00,31.00,0.01,2.00,750mL BTL,0.00
,RH,0.00,0.00,-31.00,-0.01,31.00,0.01,,,
P1513,WINE BTL LOPEZ DE HARO HACIENDA RIOJA CRIANZA,130.52,0.03,99.46,0.02,31.06,0.01,2.00,750mL BTL,0.00
,Rebecca/cow,0.00,0.00,-36.00,-0.01,36.00,0.01,,,
,Dead stock,0.00,0.00,-40.00,-0.01,40.00,0.01,,,
P3079,WINE BTL LUNARIS MALBEC,"2,300.19",0.56,"2,251.42",0.55,48.77,0.01,5.00,750mL BTL,1.97
P3013,WINE BTL TANTALUS FLAGSHIP CHARDONNAY,59.80,0.01,0.00,0.00,59.80,0.01,2.00,750mL BTL,0.00
,Envelope,0.00,0.00,-60.00,-0.01,60.00,0.01,,,
,Dylan,0.00,0.00,-60.00,-0.01,60.00,0.01,,,
,Quinn,0.00,0.00,-70.00,-0.02,70.00,0.02,,,
,tastngs,0.00,0.00,-71.89,-0.02,71.89,0.02,,,
P2599,WINE BTL CHECKMATE ATTACK CHARDONNAY,74.99,0.02,0.00,0.00,74.99,0.02,1.00,750mL BTL,0.00
,bar,0.00,0.00,-82.24,-0.02,82.24,0.02,,,
P1533,WINE BTL LAURENT PERRIER CUVEE ROSE BRUT,264.90,0.06,177.24,0.04,87.66,0.02,1.00,750mL BTL,0.00
,Tastings,0.00,0.00,-89.24,-0.02,89.24,0.02,,,
,Tasters,0.00,0.00,-116.16,-0.03,116.16,0.03,,,
,Brsad,0.00,0.00,-120.00,-0.03,120.00,0.03,,,
,TASTE,0.00,0.00,-120.26,-0.03,120.26,0.03,,,
P3227,WINE BTL THE HATCH ROSS O PINOT NOIR BLEND,"3,629.82",0.89,"3,471.47",0.85,158.35,0.04,9.00,750mL BTL,0.00
,envelope in safe,0.00,0.00,-160.00,-0.04,160.00,0.04,,,
P2653,WINE BTL TINHORN CREEK PINOT GRIS,"3,735.40",0.92,"3,571.44",0.88,163.96,0.04,11.00,750mL BTL,0.00
,cow,0.00,0.00,-170.00,-0.04,170.00,0.04,,,
,bar void cow,0.00,0.00,-182.74,-0.04,182.74,0.04,,,
,Taste,0.00,0.00,-189.39,-0.05,189.39,0.05,,,
,taster,0.00,0.00,-215.52,-0.05,215.52,0.05,,,
,Money to wine,0.00,0.00,-220.00,-0.05,220.00,0.05,,,
,Prosecco,0.00,0.00,-220.00,-0.05,220.00,0.05,,,
,tasting,0.00,0.00,-239.27,-0.06,239.27,0.06,,,
,brad,0.00,0.00,-240.00,-0.06,240.00,0.06,,,
,cow/bar,0.00,0.00,-246.78,-0.06,246.78,0.06,,,
,Credit,0.00,0.00,-265.00,-0.06,265.00,0.06,,,
,Deadstock,0.00,0.00,-315.00,-0.08,315.00,0.08,,,
P2985,WINE KEG SUNDOWNER CHARDONNAY,"2,281.13",0.56,"1,946.14",0.48,334.99,0.08,3.00,KEG 9L,11.09
,COW,0.00,0.00,-419.00,-0.10,419.00,0.10,,,
,wine,0.00,0.00,-441.28,-0.11,441.28,0.11,,,
P1530,WINE BTL LA VIEILLE FERME COTES DU VENTOUX ROSE,672.65,0.16,222.00,0.05,450.65,0.11,52.00,750mL BTL,0.00
,tastings,0.00,0.00,-716.25,-0.18,716.25,0.18,,,
,cow/foh,0.00,0.00,-887.00,-0.22,887.00,0.22,,,
P1525,WINE KEG RASCAL WHITE FAMILLE PERRIN,"5,158.50",1.26,"4,244.51",1.04,913.99,0.22,11.00,KEG 9L,4.64
P1523,WINE KEG QUAILS GATE PINOT NOIR,"3,407.85",0.84,"2,394.69",0.59,"1,013.16",0.25,5.00,KEG 9L,24.77
P1524,WINE KEG RASCAL RED FAMILLE PERRIN,"5,555.07",1.36,"4,539.59",1.11,"1,015.48",0.25,13.00,KEG 9L,0.00
,DTA5,0.00,0.00,"-1,679.04",-0.41,"1,679.04",0.41,,,
,taste,0.00,0.00,"-3,248.46",-0.80,"3,248.46",0.80,,,
P1522,WINE KEG QUAILS GATE CHENIN BLANC,"3,736.61",0.92,476.50,0.12,"3,260.11",0.80,19.00,KEG 9L,0.00
P2611,WINE KEG SCARPETTA FRICO PINOT GRIGIO,"4,477.28",1.10,356.40,0.09,"4,120.88",1.01,35.00,KEG 9L,0.00
,Total,"135,269.67",33.17,"141,805.91",34.77,"-6,536.24",-1.60,,,270.21
,Total 7020 - COS - Wine,"135,269.67",33.17,"141,805.91",34.77,"-6,536.24",-1.60,,,270.21
Date Range: between 01/02/2023 and 12/31/2023;
7020 - COS - Wine
